 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,37590.483,1000.472,374.506,1258,218,118.374,145.832
2,24531.429,911.004,383.402,1324,1131,73.856,86.200
3,22642.784,1208.067,543.624,833,1675,36.498,101.439
