 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,111.005,51.138,22.184,1522,1237,173.157,7.048
2,809.641,117.958,45.149,1546,1274,17.021,24.196
3,131.965,53.025,21.182,1606,1267,16.928,10.471
4,935.396,134.797,47.324,1793,1293,24.179,27.581
5,128.083,50.533,18.979,1637,1278,21.801,8.811
6,485.940,92.736,37.844,1686,1302,12.095,16.740
7,426.168,100.978,30.774,1845,1299,156.371,22.972
8,567.447,109.663,33.212,1758,1310,21.801,23.714
9,151.371,53.969,21.016,1709,1337,33.024,10.591
10,777.814,108.845,40.815,1598,1341,13.736,27.109
11,480.506,97.115,29.538,1651,1345,17.354,24.018
12,649.731,112.244,43.315,1823,1342,4.667,19.383
13,416.076,80.615,32.023,1554,1357,7.907,17.621
14,108.677,47.098,19.878,1834,1357,167.196,7.850
15,610.918,101.974,40.872,1595,1384,172.569,20.264
16,352.423,81.433,32.312,1823,1379,168.996,14.097
17,142.056,45.033,15.004,1553,1390,130.236,13.216
18,133.517,49.074,19.503,1795,1405,161.565,9.470
19,530.187,85.812,28.807,1711,1429,23.429,25.543
20,1125.580,133.338,46.903,1642,1434,5.389,34.096
21,1312.659,140.475,51.223,1744,1439,176.055,34.260
22,473.520,88.393,34.214,1580,1438,11.889,17.621
23,358.633,70.558,24.575,1570,1455,165.466,19.659
24,468.086,85.599,32.156,1820,1466,9.462,21.145
25,381.921,73.655,25.687,1588,1497,22.166,19.873
26,884.162,116.498,43.396,1733,1495,174.174,26.194
27,607.037,101.671,36.391,1706,1518,173.047,21.603
28,228.997,66.090,25.429,1786,1526,14.036,12.258
29,450.232,93.804,34.765,1773,1549,171.254,22.568
30,596.945,114.345,41.137,1652,1559,9.866,22.086
31,741.330,102.704,36.983,1676,1585,167.619,25.551
32,413.748,83.320,30.584,1641,1608,168.366,19.727
33,245.299,72.195,30.163,1786,1608,173.290,12.219
