 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,140.503,49.590,21.292,653,3,155.556,9.994
2,128.083,55.090,24.048,675,3,151.557,9.519
3,801.879,122.765,39.599,609,26,159.146,30.340
4,621.786,98.361,36.805,786,27,137.911,23.118
5,381.145,84.050,32.611,671,36,141.582,18.980
6,426.168,79.885,30.278,563,55,171.634,18.502
7,103.243,48.557,18.142,530,51,119.055,10.710
8,720.371,110.393,39.016,745,60,154.592,26.267
9,515.438,88.518,33.723,931,64,146.725,20.559
10,378.040,76.877,28.111,870,71,122.196,21.015
11,457.218,83.836,29.956,573,85,151.928,22.704
12,585.301,105.018,35.951,963,109,162.897,23.511
13,415.300,82.074,29.552,618,123,153.435,20.095
14,131.188,51.049,18.334,705,120,144.782,12.218
15,683.887,124.225,42.437,1026,130,138.366,22.562
16,577.539,107.083,40.881,735,130,142.883,19.977
17,151.371,55.517,19.975,563,138,131.424,11.083
18,250.733,60.501,20.091,729,192,74.745,17.594
19,124.202,44.001,15.412,746,181,120.964,11.485
20,693.202,105.196,34.620,958,207,165.256,26.432
21,294.980,66.518,22.907,1068,235,157.380,18.009
22,393.565,83.836,34.282,678,261,154.093,16.160
23,443.246,99.821,39.599,1113,261,159.146,15.548
24,454.889,93.591,34.316,1035,272,150.803,19.549
25,704.070,107.083,37.182,965,274,126.327,25.918
26,371.053,86.631,30.824,1002,280,149.036,19.383
27,377.263,78.639,29.617,752,287,157.249,18.292
28,183.974,62.263,23.723,1259,288,158.199,11.729
29,371.053,86.328,33.550,1005,303,156.801,18.316
30,1045.625,137.592,45.696,836,357,160.866,31.593
31,190.960,65.272,26.017,974,397,151.699,10.639
32,159.910,57.279,21.885,962,399,139.899,11.337
33,187.079,58.525,23.805,1366,446,141.009,12.183
34,100.914,43.573,17.107,1320,512,145.491,10.245
35,697.083,106.353,38.706,1298,549,168.179,25.551
