 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,138.175,49.715,18.163,1608,288,165.964,11.168
2,165.344,59.469,23.261,1666,306,127.304,11.400
3,112.558,49.501,22.237,1558,324,123.690,8.722
4,367.948,91.615,26.753,1623,356,162.759,21.145
5,170.001,58.223,22.079,1783,388,151.390,13.003
6,149.819,46.279,16.389,1552,386,126.254,13.003
7,558.132,96.813,33.306,1865,400,142.524,23.421
8,218.130,63.812,23.127,1664,400,130.365,14.626
9,163.015,56.461,23.967,1585,458,126.027,9.652
10,589.183,98.147,32.777,1750,463,143.746,25.611
11,224.340,63.207,26.196,1581,468,132.274,11.837
12,539.502,91.615,34.944,1626,488,146.310,21.201
13,165.344,58.739,23.277,1587,505,150.524,10.640
14,444.798,88.002,34.721,1970,510,144.293,18.326
15,255.390,78.336,34.316,1968,526,150.803,11.772
16,627.996,98.877,35.560,1900,533,131.987,24.035
17,430.049,84.780,29.288,2123,551,164.291,22.026
18,213.472,62.780,27.440,1643,546,137.603,11.837
19,460.323,87.574,32.420,1637,557,137.203,20.478
20,257.719,71.715,29.446,1790,570,141.072,12.460
21,349.318,82.074,28.901,1760,575,127.569,17.573
22,237.536,64.969,24.951,1715,576,137.862,14.329
23,315.939,73.566,28.208,1674,593,141.340,16.837
24,149.042,50.747,18.397,2148,595,106.699,13.083
25,372.606,81.897,33.166,1670,605,129.611,14.329
26,654.389,106.264,35.778,1886,607,127.999,27.478
27,317.491,72.018,24.496,2068,604,127.694,18.301
28,454.889,86.240,33.723,1949,613,146.725,17.974
29,582.196,96.385,35.088,1758,667,141.116,24.147
30,273.244,66.731,24.193,1910,691,123.111,15.761
31,144.385,45.549,17.488,2024,693,139.086,12.460
32,145.937,58.739,19.701,1782,718,116.565,11.369
33,204.933,56.033,21.182,1880,740,135.000,14.268
34,112.558,47.525,20.091,1800,752,164.745,8.256
35,454.889,93.502,28.766,1872,787,139.970,24.141
