 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,147.490,51.263,20.942,982,277,14.621,11.423
2,405.209,86.542,28.153,871,309,20.136,21.259
3,253.838,71.074,26.796,974,301,170.538,14.097
4,386.578,86.026,30.938,909,366,19.983,18.661
5,408.314,86.026,34.043,822,378,10.437,17.238
6,114.887,52.723,20.130,752,381,156.801,10.170
7,380.368,84.566,30.163,766,399,173.290,18.502
8,180.869,60.288,22.975,907,479,4.399,11.454
9,207.262,63.296,23.935,896,486,173.660,13.062
10,305.071,69.614,27.142,808,490,166.866,14.789
11,697.083,102.526,33.895,707,544,8.973,28.369
12,1092.201,161.620,49.902,548,607,47.862,36.574
13,311.281,69.010,25.075,834,598,18.435,19.265
14,367.172,75.844,25.657,773,592,164.055,19.383
15,312.834,74.510,27.142,681,591,166.866,17.621
16,107.124,44.303,17.621,901,587,143.130,10.573
17,166.120,63.723,23.327,638,615,10.886,12.902
