 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,499.913,89.211,32.492,958,1368,12.529,20.185
2,260.824,72.622,23.805,874,1380,38.991,17.446
3,603.156,92.861,33.434,914,1379,161.565,23.641
4,106.348,39.533,13.449,1021,1379,148.392,11.702
5,606.261,93.075,30.648,851,1412,18.435,26.789
6,793.340,124.313,41.419,898,1426,23.839,28.194
7,153.700,50.320,16.389,1035,1425,36.254,13.162
8,114.887,39.533,13.931,992,1424,34.695,11.454
9,745.211,110.002,36.391,933,1471,6.953,28.626
10,142.056,52.082,21.455,880,1464,19.179,9.616
11,586.078,90.885,31.287,842,1466,147.653,26.432
12,374.935,78.639,26.637,884,1484,34.216,18.985
13,222.787,56.033,19.019,1017,1476,166.608,16.428
14,368.724,78.550,27.861,904,1508,18.435,19.225
15,103.243,39.319,15.387,954,1515,13.241,8.811
16,346.989,71.074,24.480,851,1517,149.744,20.264
17,465.757,99.091,36.983,932,1542,12.381,19.383
18,657.494,114.220,34.316,888,1579,41.878,28.158
19,344.660,71.288,23.510,848,1582,77.005,20.858
20,210.367,63.082,21.182,866,1560,106.928,14.050
21,511.557,88.091,30.163,935,1571,173.290,23.789
22,707.175,104.591,32.694,923,1596,104.036,29.956
23,395.117,76.058,25.368,836,1616,20.323,22.026
24,178.540,66.820,20.942,882,1615,165.379,12.786
25,155.252,46.279,16.717,962,1637,18.435,12.335
26,461.876,103.861,37.172,889,1643,5.440,17.289
27,132.741,45.638,17.377,822,1643,149.534,10.573
28,114.111,41.295,16.246,856,1653,12.529,9.692
29,323.701,70.558,24.575,826,1668,165.466,18.502
30,194.065,66.304,23.935,992,1671,6.340,13.216
31,175.435,49.074,17.840,816,1689,159.775,13.038
32,178.540,54.574,21.182,899,1691,163.072,11.404
33,460.323,102.829,32.156,835,1718,170.538,22.304
34,536.397,94.962,31.448,970,1717,168.690,26.040
35,415.300,94.748,31.840,914,1735,165.579,19.018
