 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,233.655,62.654,23.127,1374,0,162.255,13.216
2,607.037,95.139,33.352,1361,48,167.800,25.551
3,321.372,71.288,26.505,1338,45,111.448,17.750
4,208.038,57.707,21.509,1311,48,124.992,13.083
5,132.741,56.977,25.611,1296,64,130.815,8.606
6,241.417,58.525,20.942,1385,67,165.379,16.549
7,277.902,73.994,29.930,1514,68,137.386,13.587
8,412.971,82.074,32.035,1498,79,148.496,18.125
9,451.784,81.558,30.317,1431,80,144.462,20.526
10,524.753,98.059,36.476,1358,103,142.853,21.096
11,335.345,73.264,27.666,1546,114,142.765,17.260
12,133.517,47.009,19.403,1438,121,140.528,10.396
13,569.000,91.401,31.374,1398,150,141.843,24.429
14,707.175,106.655,39.026,1638,152,151.699,23.578
15,269.363,61.534,23.261,1565,155,127.304,15.575
16,347.765,72.018,25.414,1489,170,146.310,19.313
17,292.651,73.780,29.327,1576,195,147.265,14.185
18,138.175,43.787,15.687,1716,202,128.157,12.335
19,394.341,90.066,35.994,1833,209,158.459,14.292
20,371.829,81.861,32.789,1572,207,149.300,16.140
21,128.083,56.461,21.455,1638,221,160.821,11.423
22,169.225,55.001,23.261,1744,222,155.376,9.851
23,289.546,70.772,27.027,1878,230,160.974,15.021
24,229.774,59.255,23.327,1835,239,169.114,14.579
25,131.188,43.271,15.412,1606,239,149.036,12.335
26,711.832,106.353,39.451,1722,242,156.297,25.294
27,982.748,152.935,44.369,1610,268,173.157,37.212
28,380.368,85.082,33.248,1558,262,147.995,14.808
29,123.426,41.295,13.931,1914,285,34.695,12.335
30,142.056,51.779,22.079,1561,278,151.390,9.062
31,559.685,94.107,35.875,1748,282,155.323,22.678
32,804.207,112.708,35.778,1955,305,170.074,29.904
33,420.734,80.401,29.538,2011,304,162.646,19.313
34,774.709,134.281,40.995,1611,301,118.217,29.568
35,393.565,78.764,29.930,1708,306,137.386,18.067
36,146.714,46.493,18.523,1798,315,154.654,11.630
37,331.464,72.534,27.652,1846,316,149.349,17.585
38,204.933,56.336,21.182,2009,331,16.928,13.996
39,373.382,72.106,25.075,1980,334,161.565,20.264
40,596.945,93.075,32.599,1926,341,161.075,25.570
41,163.015,48.557,16.624,1692,345,122.005,14.185
42,287.993,67.764,25.687,1874,353,149.036,15.507
43,307.400,70.042,27.213,1752,354,150.945,15.761
44,208.814,61.445,26.637,1858,358,145.784,10.591
45,675.348,109.361,43.037,1731,366,157.109,21.905
46,258.495,65.058,24.936,2022,373,147.995,14.671
47,294.980,70.985,27.370,2012,381,146.821,15.094
48,487.492,85.510,31.150,1928,395,151.260,21.632
49,230.550,61.747,21.761,1692,400,148.241,16.035
50,277.126,74.384,30.648,1746,401,161.565,12.608
51,454.113,80.010,25.928,1835,427,80.218,23.674
52,422.286,80.098,28.097,1887,402,131.186,20.526
53,475.849,85.599,30.533,1723,407,133.831,22.665
54,600.827,93.288,31.150,1990,438,61.260,26.706
55,318.267,76.877,31.938,1748,411,155.556,14.296
56,378.816,76.058,27.581,1681,440,153.435,19.701
57,453.337,81.861,28.766,1812,439,130.030,22.011
58,371.829,72.106,25.245,1938,443,150.751,20.095
59,243.746,60.590,22.289,1908,458,161.565,14.703
60,531.739,87.574,29.617,1766,467,157.249,25.217
61,277.126,62.050,22.097,1708,466,156.501,17.888
62,288.769,64.328,22.289,1900,493,161.565,17.950
63,385.802,77.216,29.956,1706,503,151.928,17.444
64,534.068,87.147,30.938,1784,502,160.017,23.665
65,527.858,87.361,29.813,1859,518,124.160,25.414
66,457.218,80.917,28.372,1788,536,143.842,22.459
67,397.446,77.909,27.327,1818,588,159.228,19.018
