 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,493.703,84.050,29.617,1448,723,157.249,23.214
2,487.492,82.590,27.142,1421,741,166.866,23.641
3,190.184,57.279,22.097,1480,766,23.499,11.321
4,135.070,46.279,17.840,1488,774,32.905,11.584
5,847.678,111.035,36.646,1443,828,80.311,32.256
6,372.606,75.114,28.153,1490,792,110.136,18.502
7,371.829,74.598,27.327,1447,880,20.772,18.519
8,383.473,79.066,26.753,1486,894,17.241,19.989
9,767.723,105.837,35.077,1455,915,11.592,29.956
10,392.789,75.542,26.284,1436,944,140.440,20.559
11,506.899,93.893,32.312,1463,984,11.004,22.026
12,561.237,90.583,31.250,1483,1010,21.501,23.641
13,372.606,71.590,23.723,1448,1045,74.932,21.145
